fomc,DFFR,rr_original,rr_update
1990-07-03,-.25,-.06561027,-.0940798
1990-08-21,0,.14965177,.1628606
1990-10-02,-.25,-.11934437,-.0960631
1990-11-13,-.25,-.01755012,.0105388
1990-12-18,-.25,-.15863966,-.079336
1991-02-06,-.5,-.25142272,-.2138369
1991-03-26,0,.22723825,.2714767
1991-05-14,0,.26233321,.2228457
1991-07-03,0,-.07671443,-.0576834
1991-08-20,0,.14046334,.1737404
1991-10-01,0,-.03472372,-.0108385
1991-11-05,-.5,-.12081832,-.1412596
1991-12-17,-.25,.11280406,.1161803
1992-02-05,0,-.00396872,.0394526
1992-03-31,0,-.12637626,-.093273
1992-05-19,0,.14817133,.1128665
1992-07-01,-.125,-.087779,-.0775481
1992-08-18,-.125,-.00259768,-.0219039
1992-10-06,-.25,-.1754361,-.1942141
1992-11-17,0,-.02895287,-.0359668
1992-12-22,0,-.23685514,-.1943265
1993-02-03,0,.0944138,.0434989
1993-03-23,0,-.06287018,-.0622348
1993-05-18,.125,.33470071,.2756362
1993-07-07,0,.0094942,-.0032562
1993-08-17,0,.04401015,.0247748
1993-09-21,0,.15896863,.1085325
1993-11-16,0,-.08728429,-.0528454
1993-12-21,0,-.1631515,-.1708104
1994-02-04,.25,.22434142,.1768225
1994-03-22,.25,.31292953,.3383007
1994-05-17,.5,.28719449,.3243787
1994-07-06,0,.07046767,.0563771
1994-08-16,.5,.41676864,.45316
1994-09-27,.125,.04092842,.0654737
1994-11-15,.75,.54906049,.6199627
1994-12-20,0,-.24825458,-.1671751
1995-02-01,.5,.50076797,.5220826
1995-03-28,0,.24140448,.2167131
1995-05-23,0,.20918393,.2158949
1995-07-06,-.25,-.00601801,.0362284
1995-08-22,0,-.09061784,-.0035875
1995-09-26,0,.02489155,.0793964
1995-11-15,0,.0520993,.1110787
1995-12-19,-.25,-.17055498,-.1289678
1996-01-31,-.25,.07332545,.0410095
1996-03-26,0,.05645342,.007434
1996-05-21,0,-.02691964,-.0120963
1996-07-03,0,-.03996132,-.007258
1996-08-20,0,-.06533957,-.023597
1996-09-24,0,-.04244125,-.0020231
1996-11-13,0,.04758852,.0666822
1996-12-17,0,-.02911222,-.0071412
1997-02-05,0,,.0351973
1997-03-25,.25,,.0816788
1997-05-20,0,,.0777921
1997-07-02,0,,-.0847719
1997-08-19,0,,.1294805
1997-09-30,0,,-.1202521
1997-11-12,0,,-.0436415
1997-12-16,0,,-.0069662
1998-02-04,0,,.0178819
1998-03-31,0,,-.0198724
1998-05-19,0,,-.0331903
1998-07-01,0,,.0882374
1998-08-18,0,,.0647385
1998-09-29,-.25,,-.2237584
1998-11-17,-.25,,-.1413977
1998-12-22,0,,-.139159
1999-02-03,0,,-.0703683
1999-03-30,0,,-.1283159
1999-05-18,0,,-.0691683
1999-06-30,.25,,.2498619
1999-08-24,.25,,.2669248
1999-10-05,0,,-.1238422
1999-11-16,.25,,.2186192
1999-12-21,0,,-.2170622
2000-02-02,.25,,.1175751
2000-03-21,.25,,.0088194
2000-05-16,.5,,.3815944
2000-06-28,0,,.0843383
2000-08-22,0,,.0347799
2000-10-03,0,,-.0464196
2000-11-15,0,,.0286532
2000-12-19,0,,.2409238
2001-01-31,-.5,,.0199651
2001-03-20,-.5,,-.5002139
2001-05-15,-.5,,-.4191935
2001-06-27,-.25,,-.163735
2001-08-21,-.25,,-.1105694
2001-10-02,-.5,,-.1195976
2001-11-06,-.5,,-.185104
2001-12-11,-.25,,-.2405914
2002-01-30,0,,-.1563808
2002-03-19,0,,-.3493033
2002-05-07,0,,.1611224
2002-06-26,0,,.0029441
2002-08-13,0,,.1170015
2002-09-24,0,,-.0661666
2002-11-06,-.5,,-.3404088
2002-12-10,0,,-.0196243
2003-01-29,0,,-.0244738
2003-03-18,0,,-.0023826
2003-05-06,0,,-.0184436
2003-06-25,-.25,,-.2484804
2003-08-12,0,,-.1004424
2003-09-16,0,,-.2091347
2003-10-28,0,,-.1648769
2003-12-09,0,,-.2032064
2004-01-28,0,,-.1044043
2004-03-16,0,,.0145577
2004-05-04,0,,-.1302076
2004-06-30,.25,,.1023015
2004-08-10,.25,,.29178
2004-09-21,.25,,.1712966
2004-11-10,.25,,.2778255
2004-12-14,.25,,.1486429
2005-02-02,.25,,.1269063
2005-03-22,.25,,.0401027
2005-05-03,.25,,.2593451
2005-06-30,.25,,.2461457
2005-08-09,.25,,.0799212
2005-09-20,.25,,.2695349
2005-11-01,.25,,.2315859
2005-12-13,.25,,.1382745
2006-01-31,.25,,.1527776
2006-03-28,.25,,.1051956
2006-05-10,.25,,.1923741
2006-06-29,.25,,.4082294
2006-08-08,0,,.0675447
2006-09-20,0,,.0996845
2006-10-25,0,,-.0428889
2006-12-12,0,,.0915493
2007-01-31,0,,-.0431856
2007-03-21,0,,.1326527
2007-05-09,0,,.0002182
2007-06-28,0,,-.0675669
2007-08-07,0,,.0427858
2007-09-18,-.5,,-.5400309
2007-10-31,-.25,,-.2605212
2007-12-11,-.25,,-.0799491
2008-01-30,-.5,,-.4555786
2008-03-18,-.75,,-.5228544
2008-04-30,-.25,,-.2081787
2008-06-25,0,,-.4092987
2008-08-05,0,,.0855192
2008-09-16,0,,-.0453368
2008-10-29,-.5,,.0332363
2008-12-16,-.875,,-.1362336
2009-01-28,0,,.2802242
2009-03-18,0,,.5475667
2009-04-29,0,,.0433088
2009-06-24,0,,.0713104
2009-08-12,0,,.1064472
2009-09-23,0,,-.153646
2009-11-04,0,,.039009
2009-12-16,0,,-.0469095
2010-01-27,0,,.0735582
2010-03-16,0,,.1453076
2010-04-28,0,,.0446266
2010-06-23,0,,.0922626
2010-08-10,0,,.128924
2010-09-21,0,,.1768471
2010-11-03,0,,.0102223
2010-12-14,0,,-.0912728
2011-01-26,0,,-.0003348
2011-03-15,0,,.0329394
2011-04-27,0,,.1259486
2011-06-22,0,,.1707933
2011-08-09,0,,.2004231
2011-09-21,0,,.1224393
2011-11-02,0,,-.0669024
2011-12-13,0,,-.1301021
2012-01-25,0,,.1215275
2012-03-13,0,,-.0152771
2012-04-25,0,,-.0190333
2012-06-20,0,,.1284525
2012-08-01,0,,.1569162
2012-09-13,0,,.0506011
2012-10-24,0,,-.04711
2012-12-12,0,,.1260855
2013-01-30,0,,-.0631026
2013-03-20,0,,.0555415
2013-05-01,0,,.0489413
2013-06-19,0,,-.0334503
2013-07-31,0,,.082655
2013-09-18,0,,-.0535432
2013-10-30,0,,.014363
2013-12-18,0,,-.021966
2014-01-29,0,,-.0810978
2014-03-19,0,,.0717529
2014-04-30,0,,-.052214
2014-06-18,0,,-.0682096
2014-07-30,0,,-.0865882
2014-09-17,0,,-.0189142
2014-10-29,0,,-.0257262
2014-12-17,0,,-.0052189
2015-01-28,0,,-.0925639
2015-03-18,0,,.0786415
2015-04-29,0,,.0561932
2015-06-17,0,,.0535283
2015-07-29,0,,-.0278736
2015-09-17,0,,-.0951534
2015-10-28,0,,-.0462054
2015-12-16,.25,,.2225297
2016-01-27,0,,.0052465
2016-03-16,0,,-.0676038
2016-04-27,0,,-.0028172
2016-06-15,0,,-.014474
2016-07-27,0,,-.0481175
2016-09-21,0,,-.2200309
2016-11-02,0,,-.0145944
2016-12-14,.25,,.2277971
2017-02-01,0,,-.0209073
2017-03-15,.25,,.2906472
2017-05-03,0,,-.1080879
2017-06-14,.25,,.1309191
2017-07-26,0,,-.0199794
2017-09-20,0,,-.1362628
2017-11-01,0,,-.0847774
2017-12-13,.25,,.2465635
2018-01-31,0,,-.1691922
2018-03-21,.25,,.2474519
2018-05-02,0,,-.0704868
